address,zipcode,development,managedBy,communityDistrict,block,lot,bin
2595 3RD AVENUE,10451,PATTERSON,PATTERSON,1,02325,0001,2091131
2615 3RD AVENUE,10451,PATTERSON,PATTERSON,1,02325,0001,2091125
2625 3RD AVENUE,10451,PATTERSON,PATTERSON,1,02325,0001,2091136
2635 3RD AVENUE,10451,PATTERSON,PATTERSON,1,02325,0001,2091135
2645 3RD AVENUE,10451,PATTERSON,PATTERSON,1,02325,0001,2091135
2715 3RD AVENUE,10451,PATTERSON,PATTERSON,1,02324,0001,2091121
3603 3RD AVENUE,10456,MORRIS I,MORRIS,3,02910,0001,2092082
3661 3RD AVENUE,10456,MORRIS I,MORRIS,3,02910,0001,2092079
3663 3RD AVENUE,10456,MORRIS I,MORRIS,3,02910,0001,2092079
3673 3RD AVENUE,10456,MORRIS I,MORRIS,3,02910,0001,2092079
3711 3RD AVENUE,10456,MORRIS II,NYC DEPT OF PARKS,3,02911,0001,2102822
175 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,02311,0001,2091141
177 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,02311,0001,2091141
185 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,02311,0001,2091141
200 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,02298,0040,2091097
205 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,02311,0001,2091140
207 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,02311,0001,2091140
210 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,02298,0040,2091097
215 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,02311,0001,2091139
217 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,02311,0001,2091139
225 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,02311,0001,2091139
340 ALEXANDER AVENUE,10454,MOTT HAVEN,MOTT HAVEN,1,02304,0001,2091098
342 ALEXANDER AVENUE,10454,MOTT HAVEN,MOTT HAVEN,1,02304,0001,2091098
780 ASTOR AVENUE,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093356
790 ASTOR AVENUE,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093356
810 ASTOR AVENUE,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093357
816 ASTOR AVENUE,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093357
820 ASTOR AVENUE,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093357
840 ASTOR AVENUE,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093361
860 ASTOR AVENUE,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093361
550 BALCOM AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10,05564,0001,2091470
560 BALCOM AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10,05564,0001,2091470
570 BALCOM AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10,05564,0001,2091470
580 BALCOM AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10,05564,0001,2091470
680 BALCOM AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10,05567,0001,2091488
690 BALCOM AVENUE,10465,THROGGS NECK ADDITION,THROGGS NECK,10,05567,0001,2091488
5360 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,02215,0116,1082780
5365 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,02215,0623,1082782
5470 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,02215,0116,1082781
5480 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,02215,0116,1082781
5496 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,03265,0001,2099379
180 BROOK AVENUE,10454,MILL BROOK,MILL BROOK,1,02263,0019,2090987
650 BUTTRICK AVENUE,10465,RANDALL AVENUE-BALCOM AVENUE,THROGGS NECK,10,05568,0001,2080422
505 CALHOUN AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091475
515 CALHOUN AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091475
545 CALHOUN AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091474
555 CALHOUN AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091474
595 CALHOUN AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091473
