PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

1010 EAST 178TH STREET

## TOTAL UNITS: 220

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2031300100 | 1 |  | 1030 EAST 178TH STREET | 10460 | 6 | 15 | 32 | 87 | 15 | 2013245 |
| 2031300100 | 1 |  | 1012 EAST 178TH STREET | 10460 | 6 | 15 | 32 | 87 | 15 | 2013245 |
| 2031300100 | 1 |  | 2021 BOSTON ROAD | 10460 | 6 | 15 | 32 | 87 | 15 | 2013245 |
| 2031300100 | 1 | M | 1010 EAST 178TH STREET | 10460 | 6 | 15 | 32 | 87 | 15 | 2013245 |

## 104-14 TAPSCOTT STREET

## TOTAL UNITS: 30

**Borough:** BROOKLYN

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3035320030 | 1 |  | 114 TAPSCOTT STREET | 11212 | 16 | 09 | 25 | 55 | 41 | 3081191 |
| 3035320030 | 1 | M | 104 TAPSCOTT STREET | 11212 | 16 | 09 | 25 | 55 | 41 | 3081191 |

## 131 SAINT NICHOLAS AVENUE

**Borough:** MANHATTAN

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1019220041 | 1 | M | 131 SAINT NICHOLAS AVENUE | 10026 | 10 | 13 | 30 | 70 | 09 | 1058378 |

## 335 EAST 111TH STREET

| Borough:MANHATTAN                TOTAL UNITS:66             TDS # 203               TRANSFERRED DATE:    11/30/2020 : |  |  |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
